Place Name,City,Location,Rating,Review Count,Popularity Score,Review
Marina Beach,Chennai,"Chennai, Tamil Nadu, India",2.9,4359,79.8,Disappointing experience!
Kapaleeshwarar Temple,Chennai,"Chennai, Tamil Nadu, India",4.2,489,86.44,"மிகவும் அழகான சூழல், மறக்க முடியாத அனுபவம்."
Santhome Basilica,Chennai,"Chennai, Tamil Nadu, India",3.9,2723,91.61,"Beautiful ambiance, must-visit spot."
Fort St. George,Chennai,"Chennai, Tamil Nadu, India",3.2,4901,88.5,"நல்ல கட்டமைப்பு, குடும்பத்துடன் செல்ல நல்ல இடம்."
Vivekananda House,Chennai,"Chennai, Tamil Nadu, India",4.4,56,88.28,"Beautiful ambiance, must-visit spot."
Government Museum,Chennai,"Chennai, Tamil Nadu, India",4,2330,91.65,"சுத்தம் மற்றும் அமைதி, கண்டிப்பாக பரிந்துரைக்கலாம்."
Arignar Anna Zoological Park,Chennai,"Chennai, Tamil Nadu, India",4.6,2375,103.88,"குழப்பமான சூழல், அதிக மக்களை சந்திக்க நேர்ந்தது."
Guindy National Park,Chennai,"Chennai, Tamil Nadu, India",4.4,747,91.73,Cleanliness could be better.
Breezy Beach,Chennai,"Chennai, Tamil Nadu, India",3.5,1108,75.54,அருமையான இடம்! மிகவும் மகிழ்ச்சியாக இருந்தது.
Edward Elliot's Beach,Chennai,"Chennai, Tamil Nadu, India",4.3,2208,97.04,"சுத்தம் மற்றும் அமைதி, கண்டிப்பாக பரிந்துரைக்கலாம்."
Cholamandal Artists' Village,Chennai,"Chennai, Tamil Nadu, India",2.9,612,61.06,"Beautiful ambiance, must-visit spot."
DakshinaChitra,Chennai,"Chennai, Tamil Nadu, India",4.6,4289,113.44,"நல்ல கட்டமைப்பு, குடும்பத்துடன் செல்ல நல்ல இடம்."
Theosophical Society,Chennai,"Chennai, Tamil Nadu, India",3.7,1754,82.77,"Too crowded, didn't enjoy much."
Connemara Public Library,Chennai,"Chennai, Tamil Nadu, India",3.2,4842,88.21,சுத்தம் பராமரிக்கப்படவில்லை.
Parthasarathy Temple,Chennai,"Chennai, Tamil Nadu, India",3.9,1359,84.8,"குழப்பமான சூழல், அதிக மக்களை சந்திக்க நேர்ந்தது."
Valluvar Kottam,Chennai,"Chennai, Tamil Nadu, India",4.3,2897,100.48,இங்கு வந்தது ஒரு சிறந்த தேர்வு!
Madras High Court,Chennai,"Chennai, Tamil Nadu, India",4,4487,102.44,நம்பியதை விட மோசம்!
MGR Film City,Chennai,"Chennai, Tamil Nadu, India",3.8,3431,93.16,Amazing place! Had a wonderful experience.
ISKCON Temple,Chennai,"Chennai, Tamil Nadu, India",2.6,3722,70.61,Perfect for a family outing!
Ripon Building,Chennai,"Chennai, Tamil Nadu, India",3.5,532,72.66,"Well maintained, great for tourists."
Royapuram Fishing Harbour,Chennai,"Chennai, Tamil Nadu, India",3.8,1303,82.52,Services need improvement.
VGP Universal Kingdom,Chennai,"Chennai, Tamil Nadu, India",3.4,4096,88.48,"சுத்தம் மற்றும் அமைதி, கண்டிப்பாக பரிந்துரைக்கலாம்."
Queensland Amusement Park,Chennai,"Chennai, Tamil Nadu, India",4.5,2314,101.57,"Beautiful ambiance, must-visit spot."
Birla Planetarium,Chennai,"Chennai, Tamil Nadu, India",3.1,232,63.16,Amazing place! Had a wonderful experience.
Madras War Cemetery,Chennai,"Chennai, Tamil Nadu, India",2.8,409,58.05,"சுத்தம் மற்றும் அமைதி, கண்டிப்பாக பரிந்துரைக்கலாம்."
Thousand Lights Mosque,Chennai,"Chennai, Tamil Nadu, India",4.2,604,87.02,"Not well maintained, needs improvement."
St. Thomas Mount,Chennai,"Chennai, Tamil Nadu, India",4.2,4954,108.77,Services need improvement.
Pondy Bazaar,Chennai,"Chennai, Tamil Nadu, India",2.7,2849,68.25,சுத்தம் பராமரிக்கப்படவில்லை.
T Nagar Shopping District,Chennai,"Chennai, Tamil Nadu, India",3,3746,78.73,அருமையான இடம்! மிகவும் மகிழ்ச்சியாக இருந்தது.
MGM Dizzee World,Chennai,"Chennai, Tamil Nadu, India",4.5,4105,110.53,"Clean and peaceful, highly recommended."
Dakshineswar Temple,Chennai,"Chennai, Tamil Nadu, India",4.8,3266,112.33,அருமையான இடம்! மிகவும் மகிழ்ச்சியாக இருந்தது.
Phoenix MarketCity,Chennai,"Chennai, Tamil Nadu, India",3.5,3564,87.82,"நன்றாக இல்லை, பராமரிப்பு தேவை."
Express Avenue Mall,Chennai,"Chennai, Tamil Nadu, India",2.6,3649,70.25,Services need improvement.
Ashtalakshmi Temple,Chennai,"Chennai, Tamil Nadu, India",2.8,4388,77.94,Amazing place! Had a wonderful experience.
Vadapalani Murugan Temple,Chennai,"Chennai, Tamil Nadu, India",4.9,4731,121.66,"நல்ல கட்டமைப்பு, குடும்பத்துடன் செல்ல நல்ல இடம்."
Arupadai Veedu Murugan Temple,Chennai,"Chennai, Tamil Nadu, India",4.4,263,89.31,Cleanliness could be better.
Sri Ramakrishna Math,Chennai,"Chennai, Tamil Nadu, India",3.1,599,65,"நன்றாக இல்லை, பராமரிப்பு தேவை."
Chetpet Eco Park,Chennai,"Chennai, Tamil Nadu, India",4.1,277,83.39,"Clean and peaceful, highly recommended."
Semmozhi Poonga,Chennai,"Chennai, Tamil Nadu, India",3,1857,69.28,"குழப்பமான சூழல், அதிக மக்களை சந்திக்க நேர்ந்தது."
Shirdi Sai Baba Temple,Chennai,"Chennai, Tamil Nadu, India",4.5,4336,111.68,சேவைகள் மேம்படுத்தப்பட வேண்டும்.
Anna Centenary Library,Chennai,"Chennai, Tamil Nadu, India",2.7,4410,76.05,நம்பியதை விட மோசம்!
Periyar Science & Technology Centre,Chennai,"Chennai, Tamil Nadu, India",3.1,3690,80.45,நம்பியதை விட மோசம்!
